"id","cuisine"
5,"korean"
7,"korean"
11,"korean"
12,"korean"
13,"korean"
17,"korean"
18,"korean"
23,"korean"
26,"korean"
28,"korean"
35,"korean"
36,"korean"
42,"korean"
47,"korean"
51,"korean"
52,"korean"
57,"korean"
66,"korean"
71,"korean"
85,"korean"
117,"korean"
122,"brazilian"
123,"korean"
130,"korean"
131,"korean"
133,"korean"
142,"korean"
144,"korean"
160,"korean"
164,"korean"
166,"korean"
169,"korean"
172,"korean"
173,"korean"
182,"korean"
183,"korean"
188,"korean"
191,"korean"
192,"korean"
210,"korean"
219,"korean"
224,"korean"
226,"korean"
227,"korean"
229,"korean"
235,"korean"
236,"korean"
240,"korean"
246,"korean"
247,"korean"
249,"korean"
253,"korean"
256,"korean"
257,"korean"
263,"korean"
278,"korean"
286,"korean"
299,"korean"
300,"korean"
308,"korean"
313,"korean"
316,"korean"
325,"korean"
326,"korean"
327,"korean"
329,"korean"
339,"korean"
344,"korean"
350,"korean"
370,"korean"
373,"korean"
376,"korean"
378,"korean"
381,"korean"
384,"korean"
388,"korean"
391,"korean"
392,"korean"
403,"korean"
404,"korean"
411,"korean"
416,"korean"
418,"korean"
423,"korean"
425,"korean"
431,"korean"
434,"korean"
439,"korean"
440,"korean"
445,"korean"
460,"korean"
466,"korean"
480,"korean"
482,"korean"
489,"korean"
498,"korean"
511,"brazilian"
519,"korean"
520,"korean"
525,"korean"
526,"brazilian"
527,"korean"
530,"korean"
538,"korean"
542,"korean"
544,"korean"
564,"korean"
565,"korean"
569,"korean"
573,"korean"
579,"korean"
582,"korean"
584,"korean"
585,"brazilian"
586,"korean"
587,"brazilian"
603,"korean"
606,"brazilian"
607,"korean"
610,"korean"
622,"korean"
633,"korean"
634,"korean"
635,"korean"
643,"korean"
649,"korean"
656,"korean"
665,"korean"
668,"korean"
676,"korean"
678,"korean"
679,"korean"
685,"korean"
688,"korean"
694,"korean"
701,"korean"
705,"korean"
708,"korean"
712,"korean"
716,"korean"
719,"korean"
721,"korean"
723,"korean"
725,"korean"
728,"korean"
732,"korean"
737,"korean"
738,"korean"
741,"korean"
743,"korean"
744,"korean"
761,"korean"
762,"korean"
767,"brazilian"
768,"korean"
770,"korean"
771,"korean"
774,"korean"
777,"korean"
778,"korean"
781,"korean"
784,"korean"
789,"korean"
795,"korean"
797,"korean"
805,"korean"
807,"korean"
809,"korean"
811,"korean"
813,"korean"
817,"korean"
822,"korean"
823,"korean"
824,"korean"
825,"korean"
828,"korean"
832,"korean"
838,"korean"
846,"korean"
853,"korean"
867,"korean"
868,"korean"
871,"korean"
872,"korean"
876,"korean"
877,"brazilian"
883,"korean"
884,"korean"
908,"korean"
918,"korean"
919,"korean"
924,"korean"
926,"korean"
939,"korean"
941,"korean"
948,"korean"
949,"korean"
974,"korean"
975,"korean"
979,"korean"
987,"korean"
988,"korean"
989,"korean"
1001,"korean"
1002,"korean"
1011,"korean"
1013,"korean"
1014,"korean"
1017,"korean"
1025,"korean"
1027,"korean"
1032,"korean"
1038,"brazilian"
1045,"korean"
1053,"korean"
1061,"korean"
1063,"korean"
1064,"korean"
1073,"korean"
1083,"korean"
1084,"korean"
1087,"korean"
1089,"korean"
1107,"korean"
1108,"korean"
1119,"korean"
1120,"korean"
1125,"korean"
1130,"korean"
1132,"korean"
1135,"korean"
1139,"korean"
1147,"korean"
1150,"korean"
1156,"korean"
1158,"korean"
1162,"korean"
1169,"korean"
1173,"korean"
1177,"korean"
1184,"korean"
1189,"korean"
1192,"brazilian"
1195,"korean"
1200,"korean"
1201,"korean"
1203,"korean"
1205,"korean"
1214,"korean"
1217,"korean"
1218,"korean"
1221,"korean"
1231,"korean"
1232,"korean"
1255,"korean"
1257,"korean"
1259,"korean"
1270,"korean"
1280,"korean"
1289,"korean"
1293,"korean"
1295,"korean"
1300,"korean"
1301,"korean"
1307,"korean"
1317,"korean"
1322,"korean"
1324,"korean"
1336,"korean"
1337,"korean"
1338,"korean"
1339,"korean"
1353,"korean"
1354,"korean"
1370,"korean"
1377,"korean"
1384,"korean"
1385,"korean"
1388,"korean"
1397,"korean"
1400,"korean"
1405,"korean"
1409,"korean"
1411,"korean"
1414,"korean"
1417,"korean"
1423,"korean"
1427,"korean"
1429,"korean"
1443,"korean"
1449,"korean"
1450,"korean"
1451,"korean"
1454,"korean"
1466,"korean"
1467,"korean"
1475,"korean"
1482,"brazilian"
1484,"korean"
1485,"korean"
1488,"korean"
1499,"korean"
1505,"korean"
1508,"korean"
1513,"korean"
1519,"korean"
1520,"korean"
1530,"korean"
1532,"korean"
1534,"korean"
1535,"korean"
1536,"korean"
1539,"korean"
1541,"korean"
1544,"korean"
1550,"brazilian"
1555,"korean"
1556,"korean"
1560,"korean"
1569,"korean"
1570,"korean"
1572,"korean"
1573,"korean"
1576,"korean"
1599,"korean"
1607,"korean"
1623,"korean"
1627,"korean"
1628,"korean"
1632,"brazilian"
1634,"korean"
1636,"korean"
1638,"korean"
1645,"brazilian"
1653,"korean"
1655,"korean"
1656,"korean"
1658,"korean"
1663,"korean"
1664,"korean"
1668,"korean"
1670,"korean"
1676,"korean"
1684,"korean"
1692,"korean"
1721,"korean"
1725,"korean"
1733,"korean"
1735,"korean"
1740,"korean"
1745,"korean"
1749,"korean"
1751,"korean"
1754,"korean"
1757,"korean"
1759,"korean"
1766,"korean"
1784,"korean"
1785,"korean"
1795,"korean"
1796,"korean"
1801,"korean"
1808,"korean"
1815,"korean"
1820,"korean"
1843,"korean"
1848,"korean"
1866,"korean"
1868,"korean"
1900,"korean"
1902,"korean"
1909,"korean"
1920,"korean"
1921,"korean"
1932,"korean"
1939,"korean"
1944,"korean"
1948,"korean"
1949,"korean"
1952,"korean"
1953,"korean"
1960,"korean"
1963,"korean"
1967,"korean"
1974,"korean"
1975,"korean"
1977,"korean"
1978,"korean"
1981,"korean"
1985,"korean"
1987,"korean"
1988,"korean"
1989,"korean"
1996,"korean"
1999,"korean"
2013,"korean"
2014,"korean"
2021,"korean"
2031,"korean"
2040,"korean"
2052,"korean"
2063,"korean"
2071,"korean"
2075,"korean"
2078,"korean"
2083,"korean"
2084,"korean"
2086,"korean"
2090,"korean"
2092,"korean"
2099,"korean"
2110,"korean"
2114,"korean"
2117,"korean"
2118,"korean"
2121,"korean"
2131,"korean"
2133,"korean"
2136,"korean"
2144,"korean"
2146,"korean"
2149,"korean"
